Entrez Gene Id	Symbol
1163	CKS1B
6612	SUMO3
79760	GEMIN7
2071	ERCC3
2966	GTF2H2
55145	THAP1
4924	NUCB1
3183	HNRPC
857	CAV1
55660	PRPF40A
80817	KIAA1712
7329	UBE2I
10474	TADA3L
100	ADA
5499	PPP1CA
10921	RNPS1
995	CDC25C
10397	NDRG1
9015	TAF1A
4175	MCM6
2874	GPS2
51224	TCEB3B
7321	UBE2D1
5092	PCBD1
114823	LENG8
7157	TP53
8767	RIPK2
4089	SMAD4
64689	GORASP1
8812	CCNK
6240	RRM1
8517	IKBKG
5867	RAB4A
7020	TFAP2A
11157	LSM6
10600	USP16
11030	RBPMS
4093	SMAD9
3557	IL1RN
7337	UBE3A
4792	NFKBIA
29979	UBQLN1
3303	HSPA1A
7327	UBE2G2
1870	E2F2
11200	CHEK2
823	CAPN1
3726	JUNB
2580	GAK
6449	SGTA
51726	DNAJB11
842	CASP9
9146	HGS
84904	C9orf100
23678	SGK3
597	BCL2A1
79088	ZNF426
414301	DDI1
9726	ZNF646
9189	ZBED1
6252	RTN1
5511	PPP1R8
2272	FHIT
7718	ZNF165
5664	PSEN2
9260	PDLIM7
7341	SUMO1
25804	LSM4
9129	PRPF3
8078	USP5
9093	DNAJA3
7319	UBE2A
6871	TADA2L
1295	COL8A1
2624	GATA2
10318	TNIP1
3297	HSF1
64112	MOAP1
10492	SYNCRIP
6767	ST13
7323	UBE2D3
10054	SAE2
3866	KRT15
3065	HDAC1
355	FAS
7041	TGFB1I1
7278	TUBA3C
8533	COPS3
3611	ILK
112869	CCDC101
9112	MTA1
2547	XRCC6
4691	NCL
3320	HSP90AA1
2908	NR3C1
1977	EIF4E
1453	CSNK1D
10320	IKZF1
6135	RPL11
83985	SPNS1
5933	RBL1
7917	BAT3
6271	S100A1
7490	WT1
573	BAG1
27257	LSM1
1026	CDKN1A
2114	ETS2
5111	PCNA
90268	FAM105B
1385	CREB1
1020	CDK5
1459	CSNK2A2
2073	ERCC5
2176	FANCC
1601	DAB2
8991	SELENBP1
26578	OSTF1
5747	PTK2
84168	ANTXR1
27101	CACYBP
55093	C8orf32
2972	BRF1
5187	PER1
6714	SRC
51567	TTRAP
5494	PPM1A
5245	PHB
4869	NPM1
84080	C16orf48
4192	MDK
5743	PTGS2
8161	COIL
8841	HDAC3
6477	SIAH1
6282	S100A11
407	ARR3
6996	TDG
468	ATF4
5170	PDPK1
140691	TRIM69
9765	ZFYVE16
9467	SH3BP5
291	SLC25A4
1856	DVL2
9063	PIAS2
1407	CRY1
5830	PEX5
2932	GSK3B
8535	CBX4
127557	ZBTB8
6789	STK4
81566	FAM130A1
5612	PRKRIR
10445	MCRS1
54557	SGTB
10174	SORBS3
637	BID
8945	BTRC
5515	PPP2CA
4841	NONO
9589	WTAP
8495	PPFIBP2
581	BAX
5970	RELA
9531	BAG3
5763	PTMS
2246	FGF1
7913	DEK
23291	FBXW11
5327	PLAT
147339	C18orf25
10262	SF3B4
51147	ING4
11170	FAM107A
10236	HNRPR
8204	NRIP1
10127	ZNF263
6606	SMN1
642	BLMH
26119	LDLRAP1
4286	MITF
664	BNIP3
55662	HIF1AN
11338	U2AF2
9013	TAF1C
8208	CHAF1B
4188	MDFI
996	CDC27
